id,name,address,postcode,city,lat,lon,Canton_name
292627775,Omlin Lebensmittel Molkkerei,Bitzigasse,6073,Flüeli-Ranft,46.8714655,8.2686577,Kanton Obwalden
295649690,Volg,Alte Gasse,6373,Ennetbürgen,46.9862471,8.4140598,Kanton Nidwalden
295649690,Volg,Alte Gasse,6373,Ennetbürgen,46.9862471,8.4140598,Kanton Nidwalden
303334984,Aldi,Pilatusstrasse,6036,Dierikon,47.0936721,8.3621027,Kanton Luzern
305192595,Volg,Hauptstrasse,6386,Wolfenschiessen,46.9069012,8.3954395,Kanton Nidwalden
305696546,ALDI,Kägiswilerstrasse,6060,Sarnen,46.9059687,8.2560314,Kanton Obwalden
305696546,ALDI,Kägiswilerstrasse,6060,Sarnen,46.9059687,8.2560314,Kanton Obwalden
305847334,Lidl,Alte Bernstrasse,2558,Aegerten,47.1183003,7.2918586,Canton de Berne
307078479,Coop,Schoriederstrasse,6055,Alpnach Dorf,46.9377064,8.2696336,Kanton Obwalden
307856011,Lidl,Rue Centrale,1845,Noville,46.3876185,6.9214493,Canton de Vaud
319028345,Volg,Obere Hauptstrasse,4665,Oftringen,47.303966,7.9439881,
319581460,Volg,Route des Grèves,1544,Gletterens,46.9040818,6.9303525,Canton de Fribourg
322889012,Coop,Hauptstrasse,5616,Meisterschwanden,47.2958425,8.2281155,
329857722,Denner,Dorfstrasse,6173,Flühli LU,46.8835986,8.0169083,Kanton Luzern
329857722,Denner,Dorfstrasse,6173,Flühli LU,46.8835986,8.0169083,Kanton Luzern
333987640,Coop,Hauptstrasse,3752,Wimmis,46.6756439,7.6380204,Canton de Berne
351360503,Volg,Rigistrasse,6353,Weggis,47.0332279,8.4356159,Kanton Luzern
351360503,Volg,Rigistrasse,6353,Weggis,47.0332279,8.4356159,Kanton Luzern
363985439,VOI,Hauptstrasse,2555,Brügg BE,47.1238149,7.2803493,Canton de Berne
379342427,Migros,Bahnhofplatz,6003,Luzern,47.0507712,8.3093004,Kanton Luzern
379354224,Coop,Bahnhofplatz,6003,Luzern,47.0503002,8.3112815,Kanton Luzern
379582720,Lidl,Spitalgasse,3011,Bern,46.9475531,7.4406489,Canton de Berne
385368229,Coop,Bahnhofstrasse,6403,Küssnacht am Rigi,47.0825004,8.4396805,Kanton Schwyz
413426444,Volg,Dorfstrasse,6044,Udligenswil,47.0900615,8.400499,Kanton Luzern
413426444,Volg,Dorfstrasse,6044,Udligenswil,47.0900615,8.400499,Kanton Luzern
473433673,Denner,Obere Dürrmühlestrasse,4704,Niederbipp,47.2694778,7.6871605,Canton de Berne
473433673,Denner,Obere Dürrmühlestrasse,4704,Niederbipp,47.2694778,7.6871605,Canton de Berne
503059566,Landi,Hauptstrasse,3475,Riedtwil,47.1410271,7.6946965,Canton de Berne
503059566,Landi,Hauptstrasse,3475,Riedtwil,47.1410271,7.6946965,Canton de Berne
537477397,Coop,Rue Industrielle,2740,Moutier,47.277302,7.3683293,Canton de Berne
537477397,Coop,Rue Industrielle,2740,Moutier,47.277302,7.3683293,Canton de Berne
543112303,Migros,Bälliz,3600,Thun,46.760232,7.6264663,Canton de Berne
543112303,Migros,Bälliz,3600,Thun,46.760232,7.6264663,Canton de Berne
590782160,Lidl,Huwil,6280,Hochdorf,47.1636151,8.2783248,Kanton Luzern
590782160,Lidl,Huwil,6280,Hochdorf,47.1636151,8.2783248,Kanton Luzern
590782160,Lidl,Huwil,6280,Hochdorf,47.1636151,8.2783248,Kanton Luzern
590782160,Lidl,Huwil,6280,Hochdorf,47.1636151,8.2783248,Kanton Luzern
590782160,Lidl,Huwil,6280,Hochdorf,47.1636151,8.2783248,Kanton Luzern
625544370,SPAR,Lyssstrasse,3054,Schüpfen,47.0430438,7.380508,Canton de Berne
636383378,Lidl,Zugerstrasse,6403,Küssnacht am Rigi,47.1063274,8.4501761,Kanton Schwyz
644448801,Landi,Bahnhofstrasse,3127,Mühlethurnen,46.8147905,7.5134333,Canton de Berne
644448801,Landi,Bahnhofstrasse,3127,Mühlethurnen,46.8147905,7.5134333,Canton de Berne
677706682,Lidl,Charrière d'Estavayer,1530,Payerne,46.8278133,6.9284295,Canton de Vaud
689602620,Coop,Burrirain,2575,Täuffelen,47.0715,7.2021605,Canton de Berne
689602620,Coop,Burrirain,2575,Täuffelen,47.0715,7.2021605,Canton de Berne
689602620,Coop,Burrirain,2575,Täuffelen,47.0715,7.2021605,Canton de Berne
689602620,Coop,Burrirain,2575,Täuffelen,47.0715,7.2021605,Canton de Berne
689602620,Coop,Burrirain,2575,Täuffelen,47.0715,7.2021605,Canton de Berne
689602620,Coop,Burrirain,2575,Täuffelen,47.0715,7.2021605,Canton de Berne
706339616,Coop,Route du Pillon,1865,Les Diablerets,46.3538975,7.1499721,Canton de Vaud
746570038,Coop,Löwenberg,3280,Murten,46.9372059,7.1430626,Canton de Fribourg
746570038,Coop,Löwenberg,3280,Murten,46.9372059,7.1430626,Canton de Fribourg
746570038,Coop,Löwenberg,3280,Murten,46.9372059,7.1430626,Canton de Fribourg
746570038,Coop,Löwenberg,3280,Murten,46.9372059,7.1430626,Canton de Fribourg
746570038,Coop,Löwenberg,3280,Murten,46.9372059,7.1430626,Canton de Fribourg
